sentiment,review
Positive,Kalki super hit akum enn Bonny parayan paranju
Positive,Become an arjun asokaN fan. .. padam kalakki
Negative,Koora padam
Negative,Poli padam njn ella mammooty movies kanarundu itrekku disapointed akkiya oru movie aduthundayittilla
Negative,Padathinte peru sheriyalla yenth unda oru veraity vende perinu.
Positive,Nalla oru film anuuu ellavarum poyi kanu....
Negative,Iyyalkke rest cheyyanulla time aayilla.. kanda oola padagalilellam abinayiche vila poi paavam..
Positive,Padam kand trailer kanuvan vannvar undo..poli film
Positive,Ikka polichu movie Si Mani sir
Positive,peru ketapol e unda pottum ennaanu karuthiyath. but unda load aayappol alle manasilaayath.... e unda pottilla
Positive,1:11 a simple loook enna poweraaa!!!!
Positive,Movide peru kandu dislike adikaan vannatha
Positive,Trailer superrrrr ikka pwolikkum padam oru action thriller blockbuster ayirikkum
Positive,Ithu Vera levelakum urappa..... Ela ikka fansinum all best....
Negative,Pattuna paniku poyapore ika... oru nalla story anu nghalu nashipikanathu
Positive,Ithu oru onnu onnara unda aayirikum
Positive,Kore naalk shesham ikkante padam kananam enn thonnath ee trailer kandapola...ith polikum...
Positive,All the best ikka.... Oru ettan fan
Positive,Oru lalettan fan aaya njan polum like adichu poyi.... sprb
Positive,Orupadu ishtayi..... Nalla oru cinema pratheekshikunnu.... Ellrm kidu ane...
Negative,Thalli thalli kure ayallo oru padamenkilum vijayippichu kanikku kidannu thalli marikkathe
Negative,Failure anu nalla mammokka movie kandu varashangal ayi....
Positive,njan oru katta ettan fan pakshe ikkayude ee unda pollikkum
Negative,Mammokayude unda varunnu an kaliyakiyavar kedo.....unda verum undayala thokkil vediunda yamanasilaya  mammookaye kaliyakunnavare
Positive,Trailer ishtapettu like ittitundu .  . . .  .june 14 kanam    . .
Positive,Engane ulla filims venamm..kooduthal mass onnum venda... Simple but powerfull..
Positive,Inganathe oru padathin vendi aayirunnu kaathiripp...avanteyokke.. friendshipum..romanceum...chaliyum..masalayum.. kand maduth
Positive,super trailer...ithinu enthinaanu makkale dislike...nallathine angeekarikku...
Positive,This is interesting.....ikka polikku ikka.....all the best from Lalettan Fans
Positive,Mohanlal fansinte full spprt ikka pwlichadukk .
Positive,Unda ennu peru ketapole kaliyakiyanmarodu onne parayanullu...ee padam pwolikum
Positive,Kidu trailer oru rakshem illa katta waiting
Positive,Rahumanaaa ne polikkadaaa... My dear class mate🥰
Negative,Aayea.... ithu oru unda aavolo.... boar ....
Positive,Jeevithavumaayi bandapett kidakkunna movie aayathu kond trailer kaanumbol vallatha oru santhosham battalion police kaarude real life aanu parayunnath
Negative,Nannayi onnu poliyunna lakshnm unde...Thrill maintain cheyan ayillenkil
Positive,Adipoli... Kidu kidu kidu... First day first show... #mammookka
Positive,Njan oru lalettan fan .Pakshe ikkayku oru blockbuster padam ashamsikkunnu
Positive,Ith kidukkan aakum...  Eagerly waiting... lub you ikkaa from eattan fan...
Positive,Supper Mamooka Mamooka Pakaram Mamooka Mathram
Positive,Ithe ikka polikkum ne thonane. Laletten fansinte vaka ore all the best
Positive,Njan oru katta ettan fan Annu enkilum....ithu polikum
Positive,Kidilam theme  Padam theatril kandrikum #lalettan fan
Positive,sathyam parayalow kaNubol ente police traing kalam ormavarunu
Positive,Unda enna peru kettapo
Positive,Mammookyde oru padavum fdfs kndttla.. ith FDFS locked
Positive,Maoist alla Maoistnte apanae varee  nammal  putikum all the best mammoka  & unda movie team
Positive,Age in reverse gear.. Ennu parayunnath verthe alla ikkaa..
Negative,Ithinu dislike cheythathu maoistukalum lalettan fansum arikum
Positive,kure naalu koodiya oru mammookka trailer kaandu santhosham thonunnathu.
Positive,Best wishes mammookka&team. Van vijayam aakkatte enn prathikkunnu
Positive,Padam vere level.. feel tharunnu ee trailer
Positive,Mammooka polikum asifikka yude oru guast roll ഉണ്ട് athinum katta waiting
Positive,Ithihasa nadanmaril ninnu ithu polathe movies aanu pratheekshikunnathu
Negative,Ethu powlikkum maduraraja yum puliyum myrumonnumalla nammukke vendate immatiri items aane
Positive,hoo mammokka police vesham aaha anthas
Positive,Ithanu njngak ishtamm olla mammooka..padam hit avatte..from an ettan fan
Positive,Movie kaboor ayerikkum ikka alle actor
Positive,Ikkaa fansinu hridhayathil sookshikkan.... Hatersinte annaakkil kodukkan... 2num pattiya item thanne aanu ith...
Positive,Katta waiting aanu makkale june 16th DERICK ABRAHAM entry
Positive,heavy mass
Positive,oru raksheille...mammooka love u...boom boom bgm
Positive,box office nte kaaryathil oru theerumaanamaaay
Positive,Mass enn paranja pora marana mass
Positive,supr ikka powli ..... padam supr arikkim urappaa.... ikka lve u ....
Positive,Woah!!kidu TrailerMammukkaaThis Eid z awesome
Positive,katta waiting ..from a katta ettan fan
Negative,E trailornu unlike adicha ella oolakalkum
Positive,malayalikalude rakthathil alinja peru...mamukaaa....ith polikkum..Mega Mass Movie from One and Only Megastar..
Positive,Ikkaa...  nigalu mass aanu...  pinnem pinnem irunna kanan thonnuvaa....
Positive,#JUNE 16  #KATTA #WAITING #DERICK ABRAHAM
Positive,Nt ikka ingalu verm ikka allatto ponnikkaya  #romanjified
Negative,Aanoruthan thokkum pidich irangiya neerali alla Avante appan vare padikkum...alla pinne..ikka fans hit like
Negative,Ith kerala kkaraye ilakki marikkan irangunna padam...Ini theatre poorapparamb aavunnath kanich tharam..nee kandathonnumalla kettoda..
Positive,Romaanja kanjuka kunjukamaay... The BOss Of MollYwooD....
Negative,Mohan Lal ayirunnenkil super ayene ..ithu chapli ayi poyi...
Positive,vandiyil vanu iragana scene oru reshayam illaa  bgm
